timestamp;motion;voltage;illuminace
2021-10-23T12:14:24.117676;825;7.46;620.09
2021-10-23T12:14:24.708289;825;7.46;620.09
2021-10-23T12:14:24.717543;825;7.46;620.09
2021-10-23T12:14:24.746415;825;7.46;622.43
2021-10-23T12:14:24.751506;825;7.46;622.43
2021-10-23T12:14:24.759431;825;7.46;622.43
2021-10-23T12:14:24.773855;825;7.46;622.43
2021-10-23T12:14:24.825323;610;7.46;622.43
2021-10-23T12:14:24.832620;610;7.46;622.43
2021-10-23T12:14:26.033467;610;7.3;622.43
2021-10-23T12:14:26.066690;610;7.3;622.43
2021-10-23T12:14:26.692652;610;7.3;622.43
2021-10-23T12:14:26.702597;610;7.3;622.43
2021-10-23T12:14:26.731622;610;7.3;616.19
2021-10-23T12:14:26.739018;610;7.3;616.19
2021-10-23T12:14:26.888446;458;7.3;616.19
2021-10-23T12:14:26.913315;458;7.3;616.19
2021-10-23T12:14:27.329612;458;7.3;616.19
2021-10-23T12:14:27.344325;458;7.3;616.19
2021-10-23T12:14:28.207840;458;7.62;616.19
2021-10-23T12:14:28.227385;458;7.62;616.19
2021-10-23T12:14:28.504777;458;7.62;616.19
2021-10-23T12:14:28.536796;458;7.62;627.9
2021-10-23T12:14:28.539702;458;7.62;627.9
2021-10-23T12:14:28.545251;458;7.62;627.9
2021-10-23T12:14:28.551776;458;7.62;627.9
2021-10-23T12:14:28.577368;458;7.62;627.9
2021-10-23T12:14:28.623084;325;7.62;627.9
2021-10-23T12:14:28.641751;325;7.62;627.9
2021-10-23T12:14:29.354294;325;7.62;627.9
2021-10-23T12:14:29.367372;325;7.62;627.9
2021-10-23T12:14:30.157993;325;8;627.9
2021-10-23T12:14:30.197989;325;8;627.9
2021-10-23T12:14:30.244061;325;8;627.9
2021-10-23T12:14:30.249958;325;8;612.68
2021-10-23T12:14:30.255124;325;8;612.68
2021-10-23T12:14:30.276607;325;8;612.68
2021-10-23T12:14:30.290181;325;8;612.68
2021-10-23T12:14:30.300633;325;8;612.68
2021-10-23T12:14:30.324395;860;8;612.68
2021-10-23T12:14:30.378469;860;8;612.68
2021-10-23T12:14:31.124718;860;8;612.68
2021-10-23T12:14:31.194272;860;8;612.68
2021-10-23T12:14:31.999518;860;8;612.68
2021-10-23T12:14:32.018496;860;8;612.68
2021-10-23T12:14:32.122987;860;7.2;612.68
2021-10-23T12:14:32.141266;860;7.2;612.68
2021-10-23T12:14:32.956052;860;7.2;612.68
2021-10-23T12:14:33.022069;860;7.2;603.31
2021-10-23T12:14:33.033331;860;7.2;603.31
2021-10-23T12:14:33.134533;784;7.2;603.31
2021-10-23T12:14:33.150291;784;7.2;603.31
2021-10-23T12:14:33.284522;784;7.2;603.31
2021-10-23T12:14:33.810640;784;7.2;603.31
2021-10-23T12:14:33.824784;784;7.2;610.34
2021-10-23T12:14:33.828165;784;7.2;610.34
2021-10-23T12:14:33.830243;784;7.2;610.34
2021-10-23T12:14:33.849185;784;7.2;610.34
2021-10-23T12:14:33.859764;784;7.2;610.34
2021-10-23T12:14:33.895879;595;7.2;610.34
2021-10-23T12:14:33.910792;595;7.2;610.34
2021-10-23T12:14:34.188106;595;7.78;610.34
2021-10-23T12:14:34.211353;595;7.78;610.34
2021-10-23T12:14:34.740457;595;7.78;610.34
2021-10-23T12:14:34.752703;595;7.78;610.34
2021-10-23T12:14:34.767562;595;7.78;610.34
2021-10-23T12:14:34.782101;595;7.78;610.34
2021-10-23T12:14:35.808087;595;7.26;610.34
2021-10-23T12:14:35.857110;595;7.26;610.34
2021-10-23T12:14:35.923251;595;7.26;610.34
2021-10-23T12:14:35.930490;595;7.26;597.07
2021-10-23T12:14:35.956402;949;7.26;597.07
2021-10-23T12:14:36.132207;949;7.26;597.07
2021-10-23T12:14:36.133429;949;7.26;597.07
2021-10-23T12:14:36.133612;949;7.26;597.07
2021-10-23T12:14:36.462510;949;7.26;597.07
2021-10-23T12:14:36.494334;949;7.26;597.07
2021-10-23T12:14:37.011156;949;7.26;597.07
2021-10-23T12:14:37.017938;949;7.26;597.07
2021-10-23T12:14:37.055720;949;7.26;586.53
2021-10-23T12:14:37.078896;949;7.26;586.53
2021-10-23T12:14:37.089128;949;7.26;586.53
2021-10-23T12:14:37.102734;949;7.26;586.53
2021-10-23T12:14:37.144167;739;7.26;586.53
2021-10-23T12:14:37.238122;739;7.26;586.53
2021-10-23T12:14:37.934197;739;7.36;586.53
2021-10-23T12:14:37.945194;739;7.36;586.53
2021-10-23T12:14:38.075429;739;7.36;586.53
2021-10-23T12:14:38.137198;739;7.36;586.53
2021-10-23T12:14:39.226521;739;7.36;586.53
2021-10-23T12:14:39.242701;739;7.36;586.53
2021-10-23T12:14:39.255877;739;7.36;613.46
2021-10-23T12:14:39.259476;739;7.36;613.46
2021-10-23T12:14:39.264967;739;7.36;613.46
2021-10-23T12:14:39.306333;739;7.36;613.46
2021-10-23T12:14:39.338998;465;7.36;613.46
2021-10-23T12:14:39.358097;465;7.36;613.46
2021-10-23T12:14:39.902092;465;7.53;613.46
2021-10-23T12:14:39.923618;465;7.53;613.46
2021-10-23T12:14:40.618794;465;7.53;613.46
2021-10-23T12:14:40.642728;465;7.53;622.82
2021-10-23T12:14:40.669613;465;7.53;622.82
