[2021-10-23T12:08:53.482383] data: motion: 181, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:53.497277] data: motion: 181, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:53.534158] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:53.537372] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:53.537451] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:53.586004] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:53.699460] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:53.739410] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:55.607245] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:55.647238] data: motion: 558, sound: 54.27, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:56.021526] data: motion: 558, sound: 61.47, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:56.031759] data: motion: 558, sound: 61.47, illuminace: 519.41, temperature: 25.44
[2021-10-23T12:08:56.176083] data: motion: 558, sound: 61.47, illuminace: 516.68, temperature: 25.44
[2021-10-23T12:08:56.192239] data: motion: 558, sound: 61.47, illuminace: 516.68, temperature: 25.44
[2021-10-23T12:08:56.248547] data: motion: 491, sound: 61.47, illuminace: 516.68, temperature: 25.44
[2021-10-23T12:08:56.291776] data: motion: 491, sound: 61.47, illuminace: 516.68, temperature: 25.44
[2021-10-23T12:08:56.299334] data: motion: 491, sound: 61.47, illuminace: 516.68, temperature: 25.44
[2021-10-23T12:08:56.326314] data: motion: 491, sound: 61.47, illuminace: 516.68, temperature: 25.44
[2021-10-23T12:08:56.682447] data: motion: 491, sound: 61.47, illuminace: 516.68, temperature: 25.45
[2021-10-23T12:08:56.701229] data: motion: 491, sound: 61.47, illuminace: 516.68, temperature: 25.45
[2021-10-23T12:08:57.007234] data: motion: 491, sound: 63.88, illuminace: 516.68, temperature: 25.45
[2021-10-23T12:08:57.039351] data: motion: 491, sound: 63.88, illuminace: 517.46, temperature: 25.45
[2021-10-23T12:08:57.040630] data: motion: 491, sound: 63.88, illuminace: 517.46, temperature: 25.45
[2021-10-23T12:08:57.070673] data: motion: 491, sound: 63.88, illuminace: 517.46, temperature: 25.45
[2021-10-23T12:08:57.105662] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.45
[2021-10-23T12:08:57.134903] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.45
[2021-10-23T12:08:57.769479] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.45
[2021-10-23T12:08:57.784076] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.45
[2021-10-23T12:08:58.851741] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.4
[2021-10-23T12:08:58.898522] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.4
[2021-10-23T12:08:59.314754] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.4
[2021-10-23T12:08:59.364018] data: motion: 394, sound: 63.88, illuminace: 517.46, temperature: 25.4
[2021-10-23T12:08:59.597370] data: motion: 394, sound: 63.36, illuminace: 517.46, temperature: 25.4
[2021-10-23T12:08:59.602456] data: motion: 394, sound: 63.36, illuminace: 517.46, temperature: 25.4
[2021-10-23T12:08:59.638716] data: motion: 394, sound: 63.36, illuminace: 510.43, temperature: 25.4
[2021-10-23T12:08:59.649517] data: motion: 394, sound: 63.36, illuminace: 510.43, temperature: 25.4
[2021-10-23T12:08:59.652128] data: motion: 394, sound: 63.36, illuminace: 510.43, temperature: 25.4
[2021-10-23T12:08:59.660899] data: motion: 394, sound: 63.36, illuminace: 510.43, temperature: 25.4
[2021-10-23T12:08:59.797228] data: motion: 521, sound: 63.36, illuminace: 510.43, temperature: 25.4
[2021-10-23T12:08:59.805586] data: motion: 521, sound: 63.36, illuminace: 510.43, temperature: 25.4
[2021-10-23T12:09:00.263353] data: motion: 521, sound: 63.36, illuminace: 510.43, temperature: 25.45
[2021-10-23T12:09:00.283723] data: motion: 521, sound: 63.36, illuminace: 510.43, temperature: 25.45
[2021-10-23T12:09:00.568275] data: motion: 521, sound: 59.01, illuminace: 510.43, temperature: 25.45
[2021-10-23T12:09:00.573680] data: motion: 521, sound: 59.01, illuminace: 510.43, temperature: 25.45
[2021-10-23T12:09:00.600676] data: motion: 521, sound: 59.01, illuminace: 509.65, temperature: 25.45
[2021-10-23T12:09:00.606086] data: motion: 521, sound: 59.01, illuminace: 509.65, temperature: 25.45
[2021-10-23T12:09:00.681888] data: motion: 528, sound: 59.01, illuminace: 509.65, temperature: 25.45
[2021-10-23T12:09:00.696622] data: motion: 528, sound: 59.01, illuminace: 509.65, temperature: 25.45
[2021-10-23T12:09:01.221752] data: motion: 528, sound: 59.01, illuminace: 509.65, temperature: 25.45
[2021-10-23T12:09:01.260977] data: motion: 528, sound: 59.01, illuminace: 509.65, temperature: 25.45
[2021-10-23T12:09:02.081202] data: motion: 528, sound: 59.01, illuminace: 509.65, temperature: 25.43
[2021-10-23T12:09:02.100029] data: motion: 528, sound: 59.01, illuminace: 509.65, temperature: 25.43
[2021-10-23T12:09:02.909801] data: motion: 528, sound: 63.65, illuminace: 509.65, temperature: 25.43
[2021-10-23T12:09:02.954315] data: motion: 528, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:02.969462] data: motion: 528, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:02.978649] data: motion: 528, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:02.990205] data: motion: 528, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:02.994533] data: motion: 528, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:02.994678] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:03.042550] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:03.343769] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:03.400001] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.43
[2021-10-23T12:09:04.315679] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.44
[2021-10-23T12:09:04.329989] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.44
[2021-10-23T12:09:04.362044] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.44
[2021-10-23T12:09:04.364214] data: motion: 556, sound: 63.65, illuminace: 522.53, temperature: 25.44
[2021-10-23T12:09:04.748937] data: motion: 556, sound: 67.21, illuminace: 522.53, temperature: 25.44
[2021-10-23T12:09:04.757319] data: motion: 556, sound: 67.21, illuminace: 522.53, temperature: 25.44
[2021-10-23T12:09:04.781607] data: motion: 556, sound: 67.21, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:04.790908] data: motion: 556, sound: 67.21, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:04.871136] data: motion: 333, sound: 67.21, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:04.899876] data: motion: 333, sound: 67.21, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:04.940914] data: motion: 333, sound: 67.21, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:04.982823] data: motion: 333, sound: 67.21, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:05.435512] data: motion: 333, sound: 66.15, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:05.463557] data: motion: 333, sound: 66.15, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:05.505398] data: motion: 333, sound: 66.15, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:05.521091] data: motion: 333, sound: 66.15, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:05.559069] data: motion: 276, sound: 66.15, illuminace: 528.39, temperature: 25.44
[2021-10-23T12:09:05.579946] data: motion: 276, sound: 66.15, illuminace: 528.39, temperature: 25.44
